YTD_return,company,symbol
,,
47.22%,SANDISK CORP,SNDK
45.31%,CVS HEALTH CORP,CVS
26.89%,GILEAD SCIENCES INC,GILD
25.60%,AMGEN INC,AMGN
25.38%,BAXTER INTERNATIONAL INC,BAX
25.13%,PHILIP MORRIS INTERNATIONAL,PM
24.16%,VERTEX PHARMACEUTICALS INC,VRTX
21.92%,ABBVIE INC,ABBV
21.44%,ABBOTT LABORATORIES,ABT
21.12%,UBER TECHNOLOGIES INC,UBER
21.06%,SUPER MICRO COMPUTER INC,SMCI
20.90%,WALGREENS BOOTS ALLIANCE INC,WBA
20.79%,T MOBILE US INC,TMUS
20.37%,TEXAS PACIFIC LAND CORP,TPL
19.94%,AMERICAN WATER WORKS CO INC,AWK
19.86%,LKQ CORP,LKQ
19.81%,AT+T INC,T
19.53%,CONSOLIDATED EDISON INC,ED
18.30%,THE CIGNA GROUP,CI
17.84%,YUM  BRANDS INC,YUM
17.53%,SOLVENTUM CORP,SOLV
17.43%,MEDTRONIC PLC,MDT
17.26%,BROWN + BROWN INC,BRO
16.86%,INTL BUSINESS MACHINES CORP,IBM
16.41%,CENCORA INC,COR
16.36%,AMERICAN ELECTRIC POWER,AEP
16.31%,PROGRESSIVE CORP,PGR
16.26%,EXELON CORP,EXC
16.25%,VERIZON COMMUNICATIONS INC,VZ
16.17%,AMERICAN TOWER CORP,AMT
16.00%,WELLTOWER INC,WELL
15.97%,REPUBLIC SERVICES INC,RSG
15.96%,JOHNSON + JOHNSON,JNJ
15.89%,WEC ENERGY GROUP INC,WEC
15.60%,MCKESSON CORP,MCK
15.49%,VERISIGN INC,VRSN
15.36%,DEERE + CO,DE
15.24%,AUTOZONE INC,AZO
15.19%,GENERAL ELECTRIC,GE
14.76%,COCA COLA CO/THE,KO
14.76%,QUEST DIAGNOSTICS INC,DGX
14.72%,PARAMOUNT GLOBAL CLASS B,PARA
14.64%,VENTAS INC,VTR
14.51%,MOLINA HEALTHCARE INC,MOH
14.35%,3M CO,MMM
14.34%,HASBRO INC,HAS
14.10%,MONDELEZ INTERNATIONAL INC A,MDLZ
13.84%,NEWMONT CORP,NEM
13.56%,O REILLY AUTOMOTIVE INC,ORLY
13.52%,INTERCONTINENTAL EXCHANGE IN,ICE
13.39%,ARTHUR J GALLAGHER + CO,AJG
13.38%,ECOLAB INC,ECL
12.94%,CME GROUP INC,CME
12.93%,SOUTHERN CO/THE,SO
12.87%,WASTE MANAGEMENT INC,WM
12.81%,ALTRIA GROUP INC,MO
12.79%,ROLLINS INC,ROL
12.63%,STERIS PLC,STE
12.53%,AMERICAN INTERNATIONAL GROUP,AIG
12.48%,KIMBERLY CLARK CORP,KMB
12.21%,OTIS WORLDWIDE CORP,OTIS
12.09%,CBOE GLOBAL MARKETS INC,CBOE
12.04%,KENVUE INC,KVUE
12.00%,HCA HEALTHCARE INC,HCA
11.83%,HOWMET AEROSPACE INC,HWM
11.74%,VICI PROPERTIES INC,VICI
11.62%,COSTAR GROUP INC,CSGP
11.58%,BRISTOL MYERS SQUIBB CO,BMY
11.51%,PROLOGIS INC,PLD
11.45%,HESS CORP,HES
11.40%,FOX CORP   CLASS A,FOXA
11.34%,AMEREN CORPORATION,AEE
11.21%,MARSH + MCLENNAN COS,MMC
11.09%,AON PLC CLASS A,AON
11.06%,RTX CORP,RTX
11.04%,CMS ENERGY CORP,CMS
11.02%,ELEVANCE HEALTH INC,ELV
10.97%,FASTENAL CO,FAST
10.89%,ROPER TECHNOLOGIES INC,ROP
10.82%,STARBUCKS CORP,SBUX
10.74%,KROGER CO,KR
10.71%,PHILLIPS 66,PSX
10.54%,XYLEM INC,XYL
10.50%,GENUINE PARTS CO,GPC
10.43%,MCCORMICK + CO NON VTG SHRS,MKC
10.36%,LINDE PLC,LIN
10.36%,SBA COMMUNICATIONS CORP,SBAC
10.27%,EXPEDITORS INTL WASH INC,EXPD
10.20%,PAYCHEX INC,PAYX
10.07%,EBAY INC,EBAY
10.04%,HERSHEY CO/THE,HSY
9.99%,DUKE ENERGY CORP,DUK
9.92%,GLOBE LIFE INC,GL
9.80%,CINTAS CORP,CTAS
9.75%,MOLSON COORS BEVERAGE CO   B,TAP
9.70%,TAKE TWO INTERACTIVE SOFTWRE,TTWO
9.67%,BERKSHIRE HATHAWAY INC CL B,BRK.B
9.64%,BANK OF NEW YORK MELLON CORP,BK
9.51%,REALTY INCOME CORP,O
9.44%,MCDONALD S CORP,MCD
9.33%,DTE ENERGY COMPANY,DTE
9.31%,FOX CORP   CLASS B,FOX
9.31%,ERIE INDEMNITY COMPANY CL A,ERIE
9.23%,COGNIZANT TECH SOLUTIONS A,CTSH
9.21%,DOLLAR GENERAL CORP,DG
